,Program Name,Program Type,Avg Days Between Inspections
19744,MONTESSORI CHILDREN'S HOUSE ACADEMY LTD. 1,DAY CARE PROGRAM,22.203883495145632
19745,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE @ ST. LUKES,OUT OF SCHOOL CARE PROGRAM,37.75
19746,KLUB BEFORE AND AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,55.18181818181818
19747,SUMMIT KIDS - BONDAR,OUT OF SCHOOL CARE PROGRAM,43.345454545454544
19748,LITTLE WORLDS LEARNING CENTER,FACILITY-BASED PROGRAM,41.85454545454545
19749,KIDS U CENTENNIAL,FACILITY-BASED PROGRAM,18.375
19750,ADVENTURES CHILD CARE 1,OUT OF SCHOOL CARE PROGRAM,35.58163265306123
19751,BRIGHTPATH MILLRISE,DAY CARE PROGRAM,53.8125
19752,TOPP KIDS OUT OF SCHOOL CLUB - ST PHILIP FINE ART SCHOOL,OUT OF SCHOOL CARE PROGRAM,49.15686274509804
19753,KIDS & COMPANY - SMART TECH,DAY CARE PROGRAM,54.23728813559322
19754,KIDS & COMPANY - MID-LAKE,DAY CARE PROGRAM,47.36986301369863
19755,ACTIVE LEARNING PROGRAMS LTD.,OUT OF SCHOOL CARE PROGRAM,15.64516129032258
19756,SOMERSET CHILD CARE,OUT OF SCHOOL CARE PROGRAM,60.89473684210526
19757,CHILD DEVELOPMENT DAYHOMES OF ALBERTA,FAMILY DAY HOME,78.74418604651163
19758,KIDS U NEW BRIGHTON,DAY CARE PROGRAM,8.726256983240223
19759,FIRST STEPS ACADEMY,DAY CARE PROGRAM,28.70940170940171
19760,YWCA CHILD CARE CENTRE AT BOW VALLEY COLLEGE,DAY CARE PROGRAM,58.4
19761,KIDS & COMPANY - ROYAL OAK,DAY CARE PROGRAM,27.75206611570248
19762,BRIGHTPATH FOREST HEIGHTS,DAY CARE PROGRAM,28.493827160493826
19763,KIDZINC SCHOOL AGE CARE - JOHN COSTELLO,FACILITY-BASED PROGRAM,138.0
19764,ASPEN HILL MONTESSORI,DAY CARE PROGRAM,40.63953488372093
19765,HAPPY TIME CHILD CARE CENTRE,DAY CARE PROGRAM,32.357798165137616
19766,BRIGHTPATH BOWNESS,DAY CARE PROGRAM,23.594405594405593
19767,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE @ ST. LUKES,OUT OF SCHOOL CARE PROGRAM,37.75
19768,BRIAR HILL CHILDREN'S PROGRAMS-MAYLAND HEIGHTS,OUT OF SCHOOL CARE PROGRAM,68.06818181818181
19769,KINDERHAUS MONTESSORI PRESCHOOL,PRE-SCHOOL PROGRAM,63.351351351351354
19770,LEARNING TREE SCHOOL AGE PROGRAM,OUT OF SCHOOL CARE PROGRAM,54.857142857142854
19771,DEER RUN COMMUNITY CHILD CARE,OUT OF SCHOOL CARE PROGRAM,39.23255813953488
19772,ESG CHILD PLAYCARE CENTER,DAY CARE PROGRAM,18.262569832402235
19773,ADVENTURES CHILD CARE 1,OUT OF SCHOOL CARE PROGRAM,35.58163265306123
19774,JUVENESCENCE - MONSIGNOR JS SMITH,OUT OF SCHOOL CARE PROGRAM,83.12903225806451
19775,SCHOOL'S OUT KIDS' OPTION INC (S.O.K.O. INC),OUT OF SCHOOL CARE PROGRAM,90.47368421052632
19776,MOUNT ROYAL UNIVERSITY BEFORE AND AFTER SCHOOL,OUT OF SCHOOL CARE PROGRAM,135.3913043478261
19777,ABC PROGRAM,OUT OF SCHOOL CARE PROGRAM,40.71764705882353
19778,SHINING WONDERS MONTESSORI PRESCHOOL & CHILD CARE,DAY CARE PROGRAM,84.2439024390244
19779,ROOTS AND WINGS PRESCHOOL,PRE-SCHOOL PROGRAM,92.91666666666667
19780,BRITANNIA MONTESSORI CHILDREN'S CENTRE,DAY CARE PROGRAM,55.152542372881356
19781,BRIGHTPATH SOUTHWOOD,DAY CARE PROGRAM,70.3061224489796
19782,PREFERRED CHILD CARE LTD.,OUT OF SCHOOL CARE PROGRAM,32.61682242990654
19783,LITTLE TREASURES INGLEWOOD,DAY CARE PROGRAM,34.36986301369863
19784,FLEDGLINGS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,14.333333333333334
19785,CAPTAIN JOHN PALLISER PRE-KINDERGARTEN AND OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,36.208333333333336
19786,TOPP KIDS CHILD CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,18.056338028169016
19787,1ST CLASS PRESCHOOL,PRE-SCHOOL PROGRAM,35.666666666666664
19788,BRIGHT ADVENTURES DAYCARE LTD.,DAY CARE PROGRAM,15.463157894736842
19789,BRIGHTPATH HIGHLAND PARK,DAY CARE PROGRAM,67.5
19790,CLEVER DAYCARE 22,DAY CARE PROGRAM,28.123456790123456
19791,THE GLENCOE CLUB OUT OF SCHOOL CARE PROGRAM,FACILITY-BASED PROGRAM,127.36363636363636
19792,ROSEMONT COMMUNITY CHILDCARE,FACILITY-BASED PROGRAM,87.42105263157895
19793,KIDS U WALDEN,DAY CARE PROGRAM,41.01960784313726
19794,KIDS & COMPANY GULF CANADA SQUARE,FACILITY-BASED PROGRAM,41.46153846153846
19795,BRIGHTPATH MCKENZIE TOWNE,OUT OF SCHOOL CARE PROGRAM,26.610687022900763
19796,EDGEMONT EDUSARC,OUT OF SCHOOL CARE PROGRAM,148.08695652173913
19797,BILINGUAL ART CHILD CARE LTD.,OUT OF SCHOOL CARE PROGRAM,21.861538461538462
19798,CALGARY JEWISH CENTRE BABE CARE DAY CARE,DAY CARE PROGRAM,29.274193548387096
19799,ACTIVE START COUNTRY HILLS,OUT OF SCHOOL CARE PROGRAM,10.458563535911603
