,Program Name,Type of Program,Program City,Postal Code,Capacity,Inspection Date,Inspection Reason,Non Compliance,Enforcement Action,Remedy Date,Program_Address,latitude,longitude
32461,KIDZINC SCHOOL AGE CARE - VALLEYVIEW,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3H3X2,24,2017/01/31,INSPECTION,,,,7655 26 AVENUE SW,51.03042,-114.1967
32462,MONTESSORI CHILDREN'S HOUSE ACADEMY LTD. 1,DAY CARE PROGRAM,CALGARY,T2M2Z8,64,2018/09/25,COMPLAINT INVESTIGATION,2(1) - Day Care Program - program in keeping with needs of children,ORDER TO REMEDY,2018/09/27,2411 4 STREET NW,51.07361,-114.07174
32463,FIRST STEPS ACADEMY,DAY CARE PROGRAM,CALGARY,T3H0V5,67,2019/08/26,VARIANCE REQUEST,,,,8561 8A AVENUE SW,51.06146,-114.20985
32464,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE @ EUGENE COSTE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2V3K7,29,2015/05/12,RENEWAL LICENCE INSPECTION,,,,10 HILLGROVE CRESCENT SW,50.96751,-114.08645
32465,ALPINE MONTESSORI CHILDREN'S CENTRE,DAY CARE PROGRAM,CALGARY,T3E3L1,79,2017/05/24,FOLLOW UP TO ENFORCEMENT ACTION,,,,3140 41 STREET SW,51.02564,-114.14663
32466,ADVENTURERS SCHOOL AGE CARE LTD: QUEEN ELIZABETH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2N2G5,71,2015/03/19,REGULAR INSPECTION,,,,BLOCK 402 512 18TH STREET NORTHWEST,51.05634,-114.10224
32467,BRITANNIA MONTESSORI CHILDREN'S CENTRE,DAY CARE PROGRAM,CALGARY,T2V1V4,44,2015/01/09,INSPECTION,,,,3 WINDSOR CRESCENT SW,51.00771,-114.08178
32468,CALGARY EARLY LEARNING CENTRE,DAY CARE PROGRAM,CALGARY,T2V2Y3,26,2015/04/20,REGULAR INSPECTION,,,,140 HADDON ROAD SW,50.97328,-114.07804
32469,KIDS U NEW BRIGHTON,DAY CARE PROGRAM,CALGARY,T2Z4Y2,138,2019/02/19,RENEWAL LICENCE INSPECTION,10(1)(a) - Medication - written consent of child's parent,ORDER TO REMEDY,2019/02/20,1035 NEW BRIGHTON DRIVE SE,50.91317,-113.95086
32470,LITTLE SCHOLARS DAYCARE INC.,DAY CARE PROGRAM,CALGARY,T3K1S9,37,2017/08/31,CONSULTATION,,,,1312 BERKLEY DRIVE NW,51.1267,-114.09748
32471,"MARIA MONTESSORI EDUCATION CENTRE OF CALGARY, LTD.",PRE-SCHOOL PROGRAM,CALGARY,T2T6T7,49,2018/01/19,RENEWAL LICENCE INSPECTION,,,,1721 29 AVENUE SW,51.02756,-114.10043
32472,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,CALGARY,T3K5P4,432,2019/03/21,INSPECTION,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
32473,LITTLE FLOWER BEFORE & AFTER SCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2E1Y1,7,2019/08/30,FOLLOW UP TO ENFORCEMENT ACTION,,,,266 25 AVENUE NE,51.07528,-114.05643
32474,CORAL SPRINGS CHILD CARE SOCIETY,DAY CARE PROGRAM,CALGARY,T1Y4G3,66,2014/11/26,INSPECTION,,,,4427 58 STREET NE,51.09217,-113.94892
32475,GROW AND LEARN CHILDCARE AND PRESCHOOL,DAY CARE PROGRAM,CALGARY,T3M0S8,28,2020/01/17,INSPECTION,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2020/01/23,11 CRANARCH ROAD SE,50.87822,-113.97655
32476,FUNFLEX PLAYCARE,DAY CARE PROGRAM,CALGARY,T2Z3V8,36,2019/06/14,COMPLAINT INVESTIGATION,27(1)(b) - Ratios and Maximum Group Size - maximum number of children in the group,VARIATION OF LICENCE PROVISIONS,2019/06/18,60 4307 130 AVENUE SE,50.93156,-113.97155
32477,THE CALGARY JEWISH ACADEMY,PRE-SCHOOL PROGRAM,CALGARY,T2V1P7,70,2017/01/26,INSPECTION,10(2)(b) - Medication - time medication administered recorded,ORDER TO REMEDY,2017/02/09,6700 KOOTENAY STREET SW,50.99375,-114.09311
32478,CLEVER DAYCARE 22,DAY CARE PROGRAM,CALGARY,T3E3C9,44,2019/04/15,COMPLAINT INVESTIGATION,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2019/04/23,4604 37 STREET SW,51.01401,-114.1409
32479,ROYAL DAYCARE CENTER LTD.,DAY CARE PROGRAM,CALGARY,T3G0E8,48,2019/05/24,INSPECTION,,,,236 500 ROYAL OAK DRIVE NW,51.13878,-114.2329
32480,SOUTH CALGARY MONTESSORI CHILD CARE LTD.,DAY CARE PROGRAM,CALGARY,T2C3G5,91,2018/12/11,INSPECTION,25(2)(a) - Core Requirements - new staff member must provide criminal record check within 8 weeks of commencement,ORDER TO REMEDY,2019/01/16,105 4720 106 AVENUE SE,50.95807,-113.96793
32481,CALGARY FRENCH & INTERNATIONAL SCHOOL CHILDCARE,DAY CARE PROGRAM,CALGARY,T3H5R1,121,2015/08/20,REGULAR INSPECTION,,,,700 77 STREET SW,51.06815,-114.19905
32482,ACTIVE START COUNTRY HILLS,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K5P4,180,2018/07/23,INITIAL LICENCE INSPECTION,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
32483,CHILD'S PLAY OUT OF SCHOOL CARE @ ST. SYLVESTER,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3B4N1,45,2019/10/08,INSPECTION,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,,7318 SILVER SPRINGS BOULEVARD NW,51.10889,-114.19446
32484,SADDLERIDGE DAYCARE,DAY CARE PROGRAM,CALGARY,T3J0W8,82,2018/11/15,FOLLOW UP TO ENFORCEMENT ACTION,,,,#108 20 SADDLESTONE DRIVE NE,51.12908,-113.92824
32485,BRIGHT ADVENTURES DAYCARE LTD.,DAY CARE PROGRAM,CALGARY,T3K5P4,63,2019/04/04,INSPECTION,,,,30 COUNTRY HILLS LANDING NW,51.14207,-114.0721
32486,SETON YMCA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,CALGARY,T3M2P9,62,2019/04/09,FOLLOW UP TO ENFORCEMENT ACTION,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2019/04/15,4995 MARKET STREET SE,50.88124,-113.94384
32487,CREATIVE LEARNING CENTRE,DAY CARE PROGRAM,CALGARY,T2J7C3,40,2015/03/03,INSPECTION,,,,2120 380 CANYON MEADOWS DRIVE SE,50.93034,-114.06386
32488,MOMMY'S KIDS CHILDCARE CENTRE LTD.,DAY CARE PROGRAM,CALGARY,T2W4J3,34,2017/11/22,INSPECTION,,,,289 523 WOODPARK BOULEVARD SW,50.94085,-114.1092
32489,KIDS & COMPANY - ROYAL OAK,DAY CARE PROGRAM,CALGARY,T3R0R5,127,2018/04/25,INSPECTION,,,,UNIT 7243-8650 112 AVENUE NW,51.15146,-114.21073
32490,SADDLERIDGE MONTESSORI PRESCHOOL - CLOSED,FACILITY-BASED PROGRAM,CALGARY,T3J0W8,112,2019/11/26,COMPLAINT INVESTIGATION,,,,20 SADDLESTONE DRIVE NE,51.12908,-113.92824
32491,THE OAKRIDGE COMMUNITY ASSOCIATION BEFORE & AFTER SCHOOL CARE PROGRAM,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2V0L1,70,2019/04/01,CRITICAL INCIDENT REPORT,25(1)(b) - Minimum staffing and general supervision - children at all times supervised,ORDER TO REMEDY,2019/04/08,9504 OAKFIELD DRIVE SW,50.96906,-114.13247
32492,FUNFLEX PLAYCARE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z3V8,42,2019/04/05,FOLLOW UP TO ENFORCEMENT ACTION,,,,UNIT 60 4307 130 AVENUE SE,50.93156,-113.97155
32493,CHILD DEVELOPMENT DAYHOMES OF ALBERTA,FAMILY DAY HOME,CALGARY,T2E1J8,520,2019/09/23,Provider Review,Provider,Not Collected,2019/09/30,202 222 16 AVENUE NE,51.06714,-114.0586
32494,WHITEFIELD DAYCARE AND AFTER SCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T1Y5H6,24,2017/04/20,INSPECTION,,,,3644 39 STREET NE,51.08723,-113.97727
32495,KIDS' STOP CHILDREN'S CENTRE -  AUBURN BAY,DAY CARE PROGRAM,CALGARY,T3M2G5,84,2020/03/02,COMPLAINT INVESTIGATION,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,2020/03/10,100 AUBURN MEADOWS DRIVE SE,50.8941,-113.94502
32496,LA SOCIETE POMMES DE REINETTE DAYCARE SE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J2B7,45,2020/02/13,INSPECTION,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,,809 WILLINGDON BOULEVARD SE,50.95098,-114.04393
32497,ISHINE CHILDCARE,DAY CARE PROGRAM,CALGARY,T2A1N9,28,2018/10/19,COMPLAINT INVESTIGATION,13(b)(ii) - Nutrition - accordance with food guide recognized by Health Canada,ORDER TO REMEDY,2018/10/25,211 47 STREET SE,51.05097,-113.96437
32498,BRIGHTPATH WHITEHORN,DAY CARE PROGRAM,CALGARY,T1Y5C4,65,2015/10/01,FOLLOW UP TO ENFORCEMENT ACTION,,,,3704 WHITEHORN DRIVE NE,51.08507,-113.98101
32499,ADVENTURES - SAM LIVINGSTON ELEMENTARY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J3G7,56,2019/05/06,INCIDENT REPORT,25(1)(b) - Minimum staffing and general supervision - children at all times supervised,ORDER TO REMEDY,2019/05/13,12011 BONAVENTURE DRIVE SE,50.9456,-114.06036
