CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,POINT
Residual Sub Area,4,13I,13I,SOUTH,N/A,UNDEVELOPED,-114.09942768390945,50.89274988000253,POINT (-114.09942768390945 50.89274988000253)
Residual Sub Area,4,11B,11B,SOUTH,N/A,UNDEVELOPED,-114.16441971345019,50.986651529493514,POINT (-114.16441971345019 50.986651529493514)
Residential,1,TUX,TUXEDO PARK,CENTRE,ESTABLISHED,INNER CITY,-114.06104594623007,51.07421776674621,POINT (-114.06104594623007 51.07421776674621)
Residential,1,LIV,LIVINGSTON,NORTH,DEVELOPING,BUILDING OUT,-114.06550168476973,51.18556510865544,POINT (-114.06550168476973 51.18556510865544)
Residual Sub Area,4,05E,05E,NORTHEAST,FUTURE,UNDEVELOPED,-113.92920994202798,51.179907895897244,POINT (-113.92920994202798 51.179907895897244)
Residual Sub Area,4,02C,02C,NORTH,FUTURE,UNDEVELOPED,-114.17667459134884,51.175901659020575,POINT (-114.17667459134884 51.175901659020575)
Residential,1,HUX,HUXLEY,EAST,DEVELOPING,2000s,-113.90456910698005,51.05554159544923,POINT (-113.90456910698005 51.05554159544923)
Residential,1,CAN,CANYON MEADOWS,SOUTH,ESTABLISHED,1960s/1970s,-114.08155642806335,50.942246348628395,POINT (-114.08155642806335 50.942246348628395)
Residential,1,WHI,WHITEHORN,NORTHEAST,ESTABLISHED,1960s/1970s,-113.97006821006156,51.088779320674604,POINT (-113.97006821006156 51.088779320674604)
Residential,1,DAL,DALHOUSIE,NORTHWEST,ESTABLISHED,1960s/1970s,-114.15815301369994,51.1094101224059,POINT (-114.15815301369994 51.1094101224059)
Major Park,3,FPK,FISH CREEK PARK,SOUTH,N/A,PARKS,-114.02652092583433,50.909602044237715,POINT (-114.02652092583433 50.909602044237715)
Residual Sub Area,4,12B,12B,SOUTHEAST,FUTURE,UNDEVELOPED,-113.8986862332021,50.93923352479981,POINT (-113.8986862332021 50.93923352479981)
Residual Sub Area,4,06B,06B,WEST,FUTURE,UNDEVELOPED,-114.22994917205087,51.07788884528642,POINT (-114.22994917205087 51.07788884528642)
